Budget Preference,Group Size,Travel Purpose,Interest Category,Planning Style,Transport Preference,Trip Duration Preference,Gender,Age,user_id,__error__,__raw_output__
Medium,Small Group (3–5),Adventure,outdoors,well-planned,Self-driving,long(6-14d),male,25–34,user25,,
Low,Solo,Relaxation,museums,well-planned,Bus,short(3-5d),female,25–34,user26,,
Medium,Solo,Cultural,museums,well-planned,Bus,short(3-5d),female,25–34,user27,,
Medium,Small Group (3–5),Relaxation,beach,well-planned,Train,short(3-5d),non-binary,25–34,user28,,
Medium,Family,Food,food tours,well-planned,Bus,short(3-5d),prefer not to say,35–44,user29,,
Medium,Family,Cultural,wildlife,well-planned,Flights,short(3-5d),prefer not to say,25–34,user3,,
Medium,Couple,Adventure,food tours,Flexible,Self-driving,short(3-5d),prefer not to say,25–34,user30,,
Medium,Solo,Cultural,food tours,well-planned,Bus,long(6-14d),female,25–34,user31,,
,,,,,,,,,user32,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Family"",
  ""Travel Purpose"": ""Relaxation"",
  ""Interest Category"": ""performances"",
  ""Planning Style"": ""well-planned"",
  ""Transport Preference"": ""Bus"",
  ""Trip Duration Preference"": ""weekend"",
  ""Gender"": ""prefer not to say"",
  ""Age"": ""25–34"""
Medium,Couple,Adventure,outdoors,well-planned,Train,short(3-5d),prefer not to say,25–34,user33,,
Medium,Solo,Food,shopping & fashions,well-planned,,short(3-5d),prefer not to say,25–34,user34,,
Medium,Family,Relaxation,food tours,well-planned,Train,short(3-5d),prefer not to say,35–44,user35,,
Medium,Couple,Food,landmarks,Spontaneous,Self-driving,short(3-5d),prefer not to say,25–34,user36,,
,,,,,,,,,user37,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Couple"",
  ""Travel Purpose"": ""Honeymoon"",
  ""Interest Category"": ""landmarks"",
  ""Planning Style"": ""semi-planned"",
  ""Transport Preference"": ""Flights"",
  ""Trip Duration Preference"": ""short(3-5d)"",
  ""Gender"": ""female"",
  ""Age"": ""25–34"""
Medium,Small Group (3–5),Cultural,museums,well-planned,Bus,short(3-5d),prefer not to say,25–34,user38,,
Medium,Small Group (3–5),Adventure,landmarks,well-planned,Bus,short(3-5d),non-binary,25–34,user39,,
Medium,Family,Adventure,outdoors,well-planned,Self-driving,long(6-14d),prefer not to say,25–34,user4,,
Medium,Family,Cultural,museums,well-planned,Not specified,long(6-14d),prefer not to say,35–44,user40,,
Low,Family,Cultural,outdoors,Spontaneous,Bus,short(3-5d),prefer not to say,25–34,user41,,
Medium,Couple,Cultural,architecture,semi-planned,Flights,long(6-14d),prefer not to say,25–34,user42,,
Medium,Small Group (3–5),Adventure,art,well-planned,Bus,weekend,female,25–34,user43,,
Medium,Couple,Honeymoon,performances,well-planned,Flights,long(6-14d),female,25–34,user44,,
,,,,,,,,,user45,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Small Group (3–5)"",
  ""Travel Purpose"": ""Food"",
  ""Interest Category"": ""food tours"",
  ""Planning Style"": ""well-planned"",
  ""Transport Preference"": ""Bus"",
  ""Trip Duration Preference"": ""weekend"",
  ""Gender"": ""prefer not to say"",
  ""Age"": ""25–34"""
High,Couple,Adventure,museums,well-planned,Flights,short(3-5d),prefer not to say,25–34,user46,,
Medium,Small Group (3–5),Food,food tours,Spontaneous,Flights,short(3-5d),prefer not to say,25–34,user47,,
Medium,Couple,Honeymoon,shopping & fashions,well-planned,Flights,short(3-5d),female,25–34,user48,,
Medium,Small Group (3–5),Food,food tours,semi-planned,Self-driving,weekend,prefer not to say,25–34,user49,,
Medium,Family,Cultural,shopping & fashions,well-planned,Flights,short(3-5d),prefer not to say,35–44,user5,,
Medium,Small Group (3–5),Adventure,outdoors,well-planned,Self-driving,short(3-5d),prefer not to say,25–34,user50,,
Low,Solo,Urban,performances,Spontaneous,Bus,weekend,female,18–24,user51,,
Medium,Solo,Food,food tours,well-planned,None,weekend,female,25–34,user52,,
Medium,Small Group (3–5),Cultural,architecture,semi-planned,Bus,short(3-5d),prefer not to say,25–34,user53,,
Medium,Small Group (3–5),Cultural,art,semi-planned,Flights,short(3-5d),prefer not to say,25–34,user54,,
High,Family,Adventure,outdoors,Spontaneous,Self-driving,short(3-5d),male,25–34,user55,,
High,Couple,Honeymoon,beach,well-planned,Flights,extended,female,25–34,user56,,
Medium,Family,Relaxation,shopping & fashions,well-planned,Not specified,weekend,Not specified,Not specified,user57,,
Medium,Solo,Urban,shopping & fashions,go with the flow,Flights,short(3-5d),female,25–34,user58,,
Medium,Family,Cultural,performances,well-planned,Flights,long(6-14d),prefer not to say,35–44,user59,,
Medium,Family,Food,architecture,well-planned,Self-driving,short(3-5d),prefer not to say,35–44,user6,,
Medium,Solo,Cultural,wildlife,go with the flow,Flights,short(3-5d),female,25–34,user60,,
Medium,Couple,Honeymoon,beach,well-planned,Flights,long(6-14d),female,25–34,user61,,
Medium,Family,Adventure,landmarks,semi-planned,Bus,short(3-5d),prefer not to say,25–34,user62,,
Medium,Couple,Cultural,architecture,well-planned,Train,short(3-5d),female,25–34,user63,,
Medium,Small Group (3–5),Relaxation,museums,well-planned,Self-driving,weekend,non-binary,25–34,user64,,
Medium,Solo,Adventure,outdoors,well-planned,Flights,short(3-5d),non-binary,25–34,user65,,
High,Couple,Cultural,museums,well-planned,Flights,short(3-5d),prefer not to say,35–44,user66,,
Low,Family,Cultural,art,well-planned,Bus,long(6-14d),prefer not to say,35–44,user67,,
Medium,Small Group (3–5),Food,food tours,well-planned,Bus,weekend,prefer not to say,25–34,user68,,
Medium,Small Group (3–5),Cultural,art,well-planned,Flights,short(3-5d),non-binary,25–34,user69,,
Medium,Couple,Cultural,museums,well-planned,Not specified,short(3-5d),Not specified,25–34,user7,,
Medium,Couple,Honeymoon,museums,well-planned,Flights,long(6-14d),female,25–34,user70,,
Medium,Solo,Cultural,museums,well-planned,Bus,medium,non-binary,25–34,user71,,
Medium,Small Group (3–5),Cultural,architecture,well-planned,Bus,short(3-5d),prefer not to say,25–34,user72,,
High,Couple,Honeymoon,beach,well-planned,Flights,extended,female,25–34,user73,,
Medium,Couple,Honeymoon,architecture,well-planned,Flights,short(3-5d),female,25–34,user74,,
Medium,Solo,Cultural,outdoors,well-planned,Bus,short(3-5d),female,25–34,user75,,
Medium,Solo,Cultural,Food,well-planned,Train,long(6-14d),female,25–34,user76,,
Luxury,Couple,Honeymoon,art,well-planned,Flights,long(6-14d),female,25–34,user77,,
Medium,Small Group (3–5),Cultural,landmarks,well-planned,Train,short(3-5d),non-binary,25–34,user78,,
Medium,Family,Cultural,museums,well-planned,Bus,short(3-5d),prefer not to say,35–44,user79,,
Medium,Family,Food,food tours,well-planned,Self-driving,short(3-5d),prefer not to say,35–44,user8,,
Medium,Family,Cultural,historical sites,well-planned,Bus,short(3-5d),prefer not to say,25–34,user80,,
Medium,Couple,Cultural,landmarks,Spontaneous,Bus,short(3-5d),prefer not to say,25–34,user81,,
High,Couple,Cultural,shopping & fashions,well-planned,Flights,long(6-14d),female,35–44,user82,,
Medium,Couple,Honeymoon,performances,go with the flow,Bus,short(3-5d),female,25–34,user83,,
Medium,Couple,Cultural,museums,well-planned,Train,short(3-5d),prefer not to say,25–34,user84,,
Medium,Solo,Relaxation,performances,go with the flow,Flights,long(6-14d),prefer not to say,25–34,user85,,
Medium,Family,Cultural,landmarks,well-planned,Self-driving,short(3-5d),prefer not to say,35–44,user86,,
Medium,Small Group (3–5),Cultural,museums,well-planned,Bus,short(3-5d),prefer not to say,25–34,user87,,
Medium,Large Group(6+),Urban,performances,Flexible travel plan,Flights,short(3-5d),prefer not to say,25–34,user88,,
High,Couple,Honeymoon,shopping & fashions,well-planned,Flights,long(6-14d),female,25–34,user89,,
,,,,,,,,,user9,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Small Group (3–5)"",
  ""Travel Purpose"": ""Cultural"",
  ""Interest Category"": ""wildlife"",
  ""Planning Style"": ""Spontaneous"",
  ""Transport Preference"": ""Bus"",
  ""Trip Duration Preference"": ""short(3-5d)"",
  ""Gender"": ""non-binary"",
  ""Age"": ""25–34"""
Medium,Solo,Cultural,art,well-planned,Flights,short(3-5d),female,25–34,user90,,
,,,,,,,,,user91,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Solo"",
  ""Travel Purpose"": ""Cultural"",
  ""Interest Category"": ""museums"",
  ""Planning Style"": ""well-planned"",
  ""Transport Preference"": ""Flights"",
  ""Trip Duration Preference"": ""short(3-5d)"",
  ""Gender"": ""prefer not to say"",
  ""Age"": ""25–34"""
Medium,Couple,Honeymoon,beach,well-planned,Flights,long(6-14d),female,25–34,user92,,
High,Family,Food,food tours,well-planned,Train,long(6-14d),prefer not to say,35–44,user93,,
,,,,,,,,,user94,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Small Group (3–5)"",
  ""Travel Purpose"": ""Cultural"",
  ""Interest Category"": ""performances"",
  ""Planning Style"": ""semi-planned"",
  ""Transport Preference"": ""Bus"",
  ""Trip Duration Preference"": ""long(6-14d)"",
  ""Gender"": ""prefer not to say"",
  ""Age"": ""25–34"""
,,,,,,,,,user95,Invalid JSON format,"{
  ""Budget Preference"": ""Medium"",
  ""Group Size"": ""Small Group (3–5)"",
  ""Travel Purpose"": ""Food"",
  ""Interest Category"": ""food tours"",
  ""Planning Style"": ""well-planned"",
  ""Transport Preference"": ""Bus"",
  ""Trip Duration Preference"": ""short(3-5d)"",
  ""Gender"": ""prefer not to say"",
  ""Age"": ""25–34"""
Medium,Couple,Cultural,art,well-planned,None (implied),short(3-5d),male/female (implied),25–34,user96,,
Medium,Solo,Cultural,outdoors,well-planned,Train,long(6-14d),prefer not to say,25–34,user97,,
Medium,Family,Adventure,architecture,well-planned,Self-driving,short(3-5d),prefer not to say,35–44,user98,,
Medium,Small Group (3–5),Cultural,architecture,well-planned,Train,short(3-5d),prefer not to say,25–34,user99,,
